Smiles,SPS,nSPS
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,992,52.21052631578947
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C[C@H]3[C@H]3O[C@@H]43)[C@@]1(Cl)C2(Cl)Cl,1266,66.63157894736842
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,929,54.64705882352941
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,1032,57.333333333333336
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C=C[C@@H](C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,1058,58.77777777777778
CCOC(=O)CCC(=O)CC1(O)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C42Cl,1956,63.096774193548384
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1764,80.18181818181819
CCOP(=O)(OCC)OC(=CBr)c1ccc(Cl)cc1Cl,225,11.25
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,225,11.25
COP(=O)(OC)O/C(C)=C/C(=O)OC(C)c1ccccc1,286,13.619047619047619
COP(=O)(OC)OC=C(Cl)Cl,120,10.909090909090908
COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,187,12.466666666666667
COP(=O)(OC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,227,12.61111111111111
COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl,185,11.5625
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,435,29.0
CON(C)C(=O)/C=C(\C)OP(=O)(OC)OC,199,12.4375
COC(=O)C=C(C)OP(=O)(OC)OC,148,10.571428571428571
CN=C(O)/C=C(\C)OP(=O)(OC)OC,174,12.428571428571429
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,206,15.846153846153847
CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,348,14.5
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,198,11.0
CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,219,11.526315789473685
CCOP(=O)(OCC)OP(=O)(OCC)OCC,220,12.941176470588236
COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl,240,12.631578947368421
COP1(=S)OCc2ccccc2O1,341,26.23076923076923
CCCC(=O)N(CSP(=S)(OC)OC)c1ccccc1Cl,240,11.428571428571429
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,247,13.0
CCOC(=O)CSP(=S)(OCC)OCC,171,11.4
CCOC(=O)CSP(=O)(OCC)OCC,171,11.4
CCOP(=O)(OCC)SCCN(CC)CC,197,12.3125
CCOP(=O)(SC(C)CC)SC(C)CC,293,19.533333333333335
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,230,15.333333333333334
CCOP(=S)(OCC)SCCl,131,11.909090909090908
COP(=S)(OC)OCCSC,131,11.909090909090908
COP(=O)(OC)SCCSC,131,11.909090909090908
CCOP(=S)(OCC)OCCSCC,167,11.928571428571429
